Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-Bx133,GTSBx,Low,10,10-Dec-22,Sand Free,SU1,NO,8 weeks,0,4-Feb-23,0,10-Nov-12,Cameron Plug & Cage CC30,YES, , ,SI,SIBU_due to no flow. Well visited (14/09/2023). Suspect sigma DHSV stuck.,3330,0,,0
TN-Bx139.T1,GTSBx,Low,0,22-Jun-23,Sand Free,SU1,NO,8 weeks,0,17-Aug-23,0,,Cameron Plug & Cage CC30,YES, , ,SI,SIBU_due to no flow.Well visited (10/11/2023). PIT at Wellhead broken. LALL 100603 hydraulic for Master valve Magenta.,3156,0,,0.5
TN-Bx23,GTSBx,Low,168,2-Feb-23,Sand Free,SU4,NO,8 weeks,0,30-Mar-23,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Well visited (23/11/2023). FT GTS Good. Suspect DBC CI at Wellhead passing (IF NO FLOW, CLOSE ITS VALVE). Found 50LALL100303 indication magenta (DHSV hyd oil tank) at WHCP.  Flow to TMP-1.",4235,0,,0.1
TN-Bx27,GTSBx,Low,0,3-Jun-23,Sand Free,SU1,NO,8 weeks,0,29-Jul-23,0,18-Apr-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (28/11/2023). Depressurize well string above DHSV until GTS flowline (preservation prepare ). SOV SSV wing stuck.,3586,0,,0
TN-Bx30,GTSBx,Low,0,6-Mar-19,Sand Free,SU3,NO,8 weeks,0,1-May-19,0,7-May-13,Cameron Blind CC40,, , ,SI,SIBU_due to no flow. Well visited (16/12/2023). PIT 10V02 wrong indication on local (Ann#A PIT). PIT at Wellhead no indication. Autochoke stuck 58%.SSV (WV) Stuck close .,3503,0,,0
TN-Bx34,GTSBx,Low,109,26-Jan-18,,SU1,NO,8 weeks,0,23-Mar-18,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Well visited (29/09/2023). Auto SIBU well disable due to ABB positioner broken. LALL 100106 hydraulic for Master caniballized, Magenta Alarm on HMI. Need bypass LALL to POP.",3458,0,,0
TN-Bx38,GTSBx,Low,42,,,SU1,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Perform PSV replacement for MIGAS Re-certification. Well visited (29/09/2023). Fully shut in Well. display PIT at u/s autochoke error. SSV Wing cannot be performed due to SOV for UMV pump stuck closed,2968,0,,0
TN-Bx64,GTSBx,Low,101,,,SU1,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (29/09/2023). Fully shut in well. Annulus C# Not accessible, PSLL 10G07 (upstream auto choke magenta) was taken by MNT IS. PIT 10G07 removed for replace. SOV for UMV pump stuck closed",3030,0,,0.2
TN-C1,GTSC,Low,131.8,,,SU1,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visit on 16/05/2023. Manual wing valve Removed and install blind. Annulus #A Vacuum. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,3220,0,,0
TN-C100,GTSC,Low,124.5,,,SU1,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Fully shut-in well.  Last visit on 01/08/2023. Second PSDV actuator N/A (used for PSDV line B). F/L Rec Broken. Ann#A PG N/A, Ann#B PG broken. Leaking at actuator sdv outgoing. 'Performed CC replacement, Leak test not performed due to",2770,0,,0.1
TN-C105,GTSC,Low,70,27-Apr-17,,SU1,NO,8 weeks,0,22-Jun-17,0,,Cameron Fixed,YES, , ,SI,FISH_fish left in well and no flow. Last visit on 12/10/2023. F/L Rec Broken. PG Ann#A N/A. Depressurize Slot 17H and Passing test manifold prior open flange activity. BV at D/S BDV IGS Closed due to depressurize Slot 17H. Keep isolate SDV Incoming and va,3082,0,,0.2
TN-C115,GTSC,Low,12,30-Mar-22,Sand Free,SU1,NO,8 weeks,0,25-May-22,0,15-Feb-13,Cameron Blind CC40,YES, , ,SI,SIBU_Due to no flow. Last visit on  1/10/2023. SkoFlo N/A. Flow to TMP 1. Leaking at vent hole SSV Wing. Depressurize Slot 17H and Passing test manifold prior open flange activity. BV at D/S BDV IGS Closed due to depressurize Slot 17H.  Keep isolate SDV I,2901,0,,0.5
TN-C127,GTSC,Low,90,27-Jul-23,Sand Free,SU1,NO,8 weeks,0,21-Sep-23,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 15/12/2023. F/R Broken. Second PSDV actuator N/A (used for PSDV line B).,3053,0,,3.6
TN-C133,GTSC,Low,0.02,,,SU2,NO,8 weeks,0,Not yet survey,0,22-Apr-12,44550,YES, , ,SI,Well plugged and cemented due to kick of raissa rig. Last visit on 05/07/2020.,2983,0,,0
TN-C137,GTSC,Low,0,9-Apr-22,Sand Free,SU4,NO,8 weeks,0,4-Jun-22,0,17-Sep-13,44550,, , ,SI,"Well plugged and cemented. Last visit on 23/03/2022. ESD 1 by raissa rig due to fluida kick, Internal body wellhead choke removed to be installed at TN-Fx108 completed.",3728,0,,0
TN-C15,GTSC,Low,53.4,9-Oct-17,,SU1,NO,8 weeks,0,4-Dec-17,0,12-Mar-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 06/11/2023. MWV stuck close. F/L Rec not available. Skoflo N/A.,3517,0,,0
TN-C18,GTSC,Low,0,,,SU1,NO,8 weeks,0,Not yet survey,0,,44550,YES, , ,SI,Well plugging and cementing due to kick of Raissa rig. Last visit on 28/02/2020.,3142,0,,0
TN-C19,GTSC,Low,80,16-Dec-23,Sand Free,SU4,NO,8 weeks,0,10-Feb-24,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. 'Last visit on 28/12/2023. F/R problem. Regulator CI package not available.Qgas No Reference. Flow to TMP-1.,3380,0,,0
TN-C27,GTSC,Low,100,4-Apr-23,Sand Free,SU1,NO,8 weeks,0,18-Apr-23,0,18-Oct-12,Vonk DV,YES, , ,SI,SIBU_due to no flow. Last visit on 06/07/2023. DHSV pump low performance. Flow to TMP-1.,3253,0,,0
TN-C4,GTSC,Low,0.7,,,SU2,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Last visit on 12/07/2023. F/L Rec Broken, 8"" flowline is blinded (spectacle blind ). Quick exhaust for SSV wing N/A. Ann#A PG N/A.DHSV Pump jumper from SSV Master.",3553,0,,0
TN-C409,GTSC,Low,160,21-Sep-23,Sand Free,Main,NO,8 weeks,0,16-Nov-23,,27-Apr-19,Masterflo P3,YES,,,SI,SIBU_due to no flow.Last visit on 14/12/2023.(Nuflo no display and cover stuck). Flow to TMP-1.,2498,0,,
TN-C435,GTSC,Low,63,21-Jul-23,Sand Free,SU2,NO,8 weeks,0,15-Sep-23,,16-May-19,Masterflo P3,YES,,,SI,"WH check_as per WPT request due to WHFP increased significantly. Found : No sand. Minor defect at flow collar and nozzle. Keep shut-in for further program. Last visit on 05/12/2023. ESDV outgoing indicator stuck, valve open 100%. Ann#A vacuum. Flow to TMP",2411,0,,
TN-C442,GTSC,Low,140,19-Aug-18,,SU1,NO,8 weeks,0,14-Oct-18,0,22-Oct-13,Cameron Plug & Cage CC40,, , ,SI,"SIBU_due to no flow. Last visit on 15/03/2023. Second PSDV actuator N/A (used for PSDV line B) Ann#A vacuum. Perform Wellhead choke verification (Cameron Plug&Cage CC40) due to hard operated, finding Sealplug at internal choke broken, And re-installed wit",2714,0,,0
TN-C447,GTSC,Low,100,16-Aug-23,Sand Free,Shallow,NO,8 weeks,0,11-Oct-23,0,1-Jun-15,JVS Retrovit,YES,,,SI,SIBU_due to no flow. Last visit on 30/12/2023. (nuflo not accurate). Regulator CI package N/A. Flow to TMP-1. Depressurize Slot 17H and Passing test manifold prior open flange activity. BV at D/S BDV IGS Closed due to depressurize Slot 17H.  Keep isolate,1165,0,,2.5
TN-C457.T1,GTSC,Low,125,26-May-22,Sand Free,Main,NO,8 weeks,0,21-Jul-22,,,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visit on 27/12/2023.,3657,0,,
TN-C51,GTSC,Low,13,4-Sep-21,Sand Free,Shallow,GP,8 weeks,0,30-Oct-21,0,28-Sep-10,Cameron Fixed,YES, , ,SI,SIBU_Due to no flow. Last visit on 1/10/2023. F/L Rec not available. IG jumper from TN-C15. Finding : SSV wing passing. Flow to TMP 1.,1146,0,,0
TN-C53,GTSC,Low,13,30-Nov-23,Sand Free,Shallow,GP,8 weeks,0,25-Jan-24,0,9-Dec-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 24/12/2023. Nuflo N/A (Moved to TN-AA243). Ann#A PG N/A. Flow to TMP-1.,725,0,,0
TN-C55,GTSC,Low,64,,,Shallow,GP,8 weeks,0,Not yet survey,0,22-Nov-12,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Last visit on 25/11/2023. F/L Rec not available.,962,0,,0
TN-C56,GTSC,Low,82,10-Dec-22,Sand Free,Shallow,GP,8 weeks,0,4-Feb-23,0,21-Apr-13,Masterflo P3,YES, , ,SI,SIBU_due to no flow. Last visit on 05/12/2023. Nuflo may not accurate. Ann# A&B PG N/A. Found leaking at CI pump. Flow to TMP-1. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,938,0,,3.7
TN-C57,GTSC,Low,52,11-Apr-22,Sand Free,Shallow,GP,8 weeks,0,6-Jun-22,0,7-Apr-13,Cameron Plug & Cage CC40,YES, , ,SI,Direct POP after zone change postponed due WHSIP low. Last visit on 05/12/2023. Nuflo broken. Found leaking at CI pump. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,1199,0,,15.7
TN-C58,GTSC,Low,82,1-Dec-23,Sand Free,Shallow,GP,8 weeks,0,26-Jan-24,0,13-Jul-13,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Last visit on 17/12/2023. Cover nuflo can't open. CI Injection point at TN-C409. Check valve upstream CI pump plugged. Ann#B no PG. Flow to TMP-1.,1179,0,,0
TN-C60,GTSC,Low,58,30-Nov-23,Sand Free,Shallow,GP,8 weeks,0,25-Jan-24,0,22-Nov-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 29/12/2023. Nuflo N/A. CI injection at TN-C124. Flow to TMP-1.,1168,0,,0
TN-C61.T1,GTSC,Low,13,21-Nov-23,Sand Free,Shallow,GP,8 weeks,0,16-Jan-24,0,,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Last visit on 29/11/2023. Nuflo cover hard to open. Qgas = No reference. CI instrumentation not complete. Flow to TMP-1.,1148,0,,0
TN-C63,GTSC,Low,86,12-Jul-19,Sand Free,Shallow,GP,8 weeks,0,6-Sep-19,0,23-Aug-13,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Last visit on 02/01/2024. Ann#A = PG broken. SkoFlo N/A. manual wing stuck open. Flow to TMP-1.Hydrolic Oil Low Level. WHSIP Updated.,1024,0,,11.1
TN-C64,GTSC,Low,4.3,14-May-17,,Shallow,GP,8 weeks,0,9-Jul-17,0,19-Jul-14,Cameron Plug & Cage CC40,YES,,,SI,SIBU_due to no flow. Fully shut-in well. Last visit on 24/04/2023. F/L N/A.  Flowline disconnected.,1091,0,,1.8
TN-C65.T1,GTSC,Low,4,18-Aug-23,Sand Free,Shallow,GP,8 weeks,0,13-Oct-23,0,,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visit on 05/09/2023. Ann#A PG broken. Dial Plate taken out for TN-Fx21. Nuflo not accurate (Nuflo zero check Qgas stay at 0.2 Mmscfd). Flow to TMP-1.,1353,0,,5.2
TN-C69,GTSC,Low,104,19-Mar-23,Sand Free,Shallow,GP,8 weeks,0,14-May-23,0,28-Oct-18,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visit on 08/11/2023. Nuflo error. CI Covers TN-C68/C56/C75/C57. Flow to TMP-1. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,1363,0,,
TN-C7,GTSC,Low,0,,,SU3,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,"Killed well (plugged, cemented and brine injected) for safety reason. Last visit on 31/12/2023. Ann#B PG broken.",4436,0,,0
TN-C71,GTSC,Low,24,7-Apr-23,Sand Free,Shallow,GP,8 weeks,0,2-Jun-23,,16-May-19,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visit on 18/12/2023. CI empty.  Flow to TMP-1.,1145,0,,
TN-C75,GTSC,Low,5.3,27-Sep-21,Sand Free,Shallow,GP,8 weeks,0,22-Nov-21,0,28-Oct-18,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visit on 05/11/2023. CI Injection at TN-C69. ANN C PG Broken. DHSV jumper from UMV supply. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,1406,0,,
TN-C8,GTSC,Low,0,,,SU1,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,YES, , ,SI,Killed well (plugged and brine injected) for safety reason.  Last visit on 16/05/2023.Ann#B PG broken. Depressurize Slot 17H and Passing test manifold prior open flange activity. BV at D/S BDV IGS Closed due to depressurize Slot 17H.  Keep isolate SDV Inc,3035,0,,0
TN-C9-B1,GTSC,Low,126,6-Dec-22,Sand Free,SU1,NO,8 weeks,0,31-Jan-23,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visit on 31/12/2023. Second PSDV actuator N/A (used for PSDV line B) POP revive cancelled due to DHSV problem (Suspect DHSV leak, found gas release from hyd control line). Annulus B inner 1 (hard to operated).",2933,0,,0
TN-D1,GTSD,Low,17,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 16/12/2023.,4139,0,,0
TN-D10,GTSD,Low,115,,,SU5,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,FISH_fish left in well. Fully shut-in well. Last visited 31/03/2022. Tubing investigation completed w/f next program. Regulator SDV incoming Leaking. Found seepage at Weco connection killing line.,4964,0,,0
TN-D11,GTSD,Low,8,21-Nov-23,Sand Free,SU4,NO,8 weeks,0,16-Jan-24,0,,Cameron Fixed,, , ,SI,SIBU_Due to no flow. Last visited 30/11/2023. Qgas No reference. Found actuator UMV leak at vent hole (Moderate).,4144,0,,0
TN-D13,GTSD,Low,0,,,SU5,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,"Killed Well. Last visited 25/08/2023. W/H spool disconnected.  ABB Auto choke has been dismantled, auto choke locked open by using direct pneumatic supply to actuator. Ann#A inner 2 stuck. Ann#C PG N/A. Remove DBB,DBC and thermowell then Blind flange. ins",4635,0,,0
TN-D151,GTSD,Low,0,8-Nov-18,,SU4,NO,8 weeks,0,3-Jan-19,0,5-Jul-12,Cameron Blind CC40,, , ,SI,SIBU_due to no flow. Last visited 16/06/2023. No PG are installed on all annulus valves. IGS supply from TN-D72  parallel with N2. IGS dropped if any intervention on WHCP.,3659,0,,0.1
TN-D2,GTSD,Low,20.5,,,SU3,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 11/11/2023. Plugged well. IGS supply for SDV incoming disconnected due to leaking at bleeder chamber valve. Quick exhaust SSV wing N/A. Mini regulator for Supply Pump broken. Suspect leaking at DHSV.,3823,0,,0
TN-D26,GTSD,Low,100,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 27/05/2023. IGS line to TN-D26/D27 plugged. Remove spool from d/s MWV to d/s ESDV outgoing (preservation). PSLL flowline canibalized for PSLL IGS Scrubber. Actuator SDV IG to remote (SDV-1823) dismantled by MNT/IS to be r,4210,0,,0
TN-D27,GTSD,Low,96,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 09/10/2021. Well plugged. IGS line to TN-D26/D27 plugged. Remove spool from d/s MWV to d/s ESDV outgoing (preservation). PSLL flowline canibalized for PSLL IGS Scrubber. Actuator SDV IG to remote (SDV-1823) dismantled by,4108,0,,0
TN-D3,GTSD,Low,50,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 07/10/2023. Tank filled w/ demin water. Three way at SDV incoming stuck (SDV stuck closed). Manual wing valve stuck open. Sigma for umv passing. NRV HP header no internal.  haskel pump N/A.,4045,0,,0
TN-D31,GTSD,Low,160,16-Jan-19,Sand Free,SU2,NO,8 weeks,0,13-Mar-19,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 02/11/2022. Manual wing valve stuck open & haskel pump Problem.,3652,0,,0
TN-D35.T1,GTSD,Low,235,26-Nov-17,,SU4,NO,8 weeks,0,21-Jan-18,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Fully shut-in well. Last visited 6/10/2023. IGS supply for SDV incoming disconnected due to leaking at bleeder chamber valve. Ann#C PG N/A. Haskel Pump Broken.,3527,0,,0.1
TN-D4,GTSD,Low,130,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,,,,SI,Wing valve and W/H spool has been removed. Last visited 25/03/2022.  Ann #C PI not available.,3639,0,,0
TN-D5,GTSD,Low,42,12-May-18,,SU4,NO,8 weeks,0,7-Jul-18,0,21-Nov-14,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Fully Shut-in well. Last visited 29/09/2023. Quick exhaust and O-ring actuator SDV incoming broken. NRV HP header no internal.,3907,0,,1
TN-D51,GTSD,Low,35,21-Nov-23,Sand Free,SU4,NO,8 weeks,0,16-Jan-24,0,4-Jun-14,Cameron Plug & Cage CC40,YES,,,SI,SIBU_due to no flow. Last visited 22/12/2023. Manual wing valve problem status open. IGS supply parallel with N2. CI Package not complete. PG Ann#A Broken.,3797,0,,0.3
TN-D56,GTSD,Low,91,26-Jun-20,Sand Free,SU4,NO,8 weeks,0,21-Aug-20,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 22/01/2023. UMV pump NA.,4150,0,,0
TN-D6,GTSD,Low,53.3,7-Aug-19,Sand Free,SU4,NO,8 weeks,0,2-Oct-19,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 19/11/2022. Haskel Pump for UMV and DHSV N/A. ESDV Incoming Leak at Actuator.,3767,0,,0
TN-D7,GTSD,Low,19,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,Well plugged. DHSV N/A. Last visited 12/10/2023.,4265,0,,0
TN-D75,GTSD,Low,9,18-Dec-23,Sand Free,Main,NO,8 weeks,0,12-Feb-24,,26-Apr-19,Masterflo P3,,,,SI,SIBU_due to no flow. Last visited 31/12/2023. Qgas No reference. Parameter not stable yet. IGS from DBB at flowline D72 (currently use N2 bottle as back up). NuFlo no Display.,4236,0,,
TN-D8,GTSD,Low,78,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Last visited 30/11/2023. 8"" horizontal manual ball valve flowline broken, handwheel loosen (40% opening). Quick Exhaust for SSV Wing broken.",4351,0,,0
TN-D9,GTSD,Low,152,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,FISH_fish left in well and due to no flow. Last visited 18/07/2022. Manual wing valve gear box N/A.  PG ann broken.,4259,0,,0
TN-Dx14,GTSDx,Low,207,,,SU4,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 07/09/2023. DBB & DBC at instrument flanges has been Removed and Install Blind Flange. Manual valve of test header stuck closed and could not be operated. Ann#C PG N/A. Depressurize from DHSV up to surface. 'Remove manual,4783,0,,0
TN-Dx15,GTSDx,Low,9,11-Nov-20,Sand Free,SU4,NO,8 weeks,0,6-Jan-21,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Last visited 17/02/2023. DBB & DBC at instrument flanges has been Removed and Install Blind Flange. Ann#B = Vacum, Ann#C = no PG. Depressurize from DHSV up to surface. Remove Manual Wing Valve then install Blind Dummy Spool.",4300,0,,0
TN-Dx16,GTSDx,Low,0,30-Apr-18,,SU2,NO,8 weeks,0,25-Jun-18,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited 03/04/2022. DBB & DBC at instrument flanges has been Removed and Install Blind Flange, Leak test not yet. Gear box horizontal valve 6"" removed, valve open position. Depressurize from DHSV up to surface. Remove Manual wing",4145,0,,0
TN-Dx17,GTSDx,Low,55,13-Apr-21,Sand Free,SU4,NO,8 weeks,0,8-Jun-21,0,,Cameron Fixed,, , ,SI,"CC Rep_S/I & depressurize due to wrong size CC installation. Recover stuck CC at flowline due to wrong size completed.Leak test after PSV replacement, pressure 38 BarG jumper from Slot K good result. Last visited 25/09/2023.  DBB & DBC at instrument flang",4979,0,,3.4
TN-Dx18,GTSDx,Low,160,,,SU5,NO,8 weeks,0,Not yet survey,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Last visited 14/05/2021. Flowline disconnected. Instrumentation at WHCP not completed, Sigma DHSV and UMV NA. Remove DBB,DBC and thermowell then Blind flange installed. 'Depressurize from DHSV up to surface",4261,0,,0
TN-Dx19,GTSDx,Low,105.3,2-Jan-20,Sand Free,SU4,NO,8 weeks,0,27-Feb-20,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 25/09/2023. DBB & DBC at instrument flanges has been Removed and Install Blind Flange. Depressurize from DHSV up to surface. Remove Manual Wing Valve then install Blind Dummy Spool.,3677,0,,0.4
TN-Dx20,GTSDx,Low,22,4-Jul-18,,SU1,NO,8 weeks,0,29-Aug-18,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 13/01/2023. Depressurize from DHSV up to surface. Remove Manual wing valve then install dummy spool.  ESDV Incoming Leak at Actuator. Remove SSV wing then install Manual Gate Valve.,3146,0,,0
TN-Dx21,GTSDx,Low,47,12-Dec-19,Sand Free,SU1,NO,8 weeks,0,6-Feb-20,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visited 07/09/2023. Ann #C PI N/A. DBB & DBC at instrument flanges has been Removed and Install Blind flange. Leaking at vent hole SSV wing. Depressurize from DHSV up to surface. Remove manual wing valve and install dummy spool.,3633,0,,0
TN-Dx22,GTSDx,Low,123.6,31-Mar-19,Sand Free,SU5,NO,8 weeks,0,26-May-19,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Fully Shut-in Well. Last visited 24/05/2022. DBB & DBC at instrument flanges has been Removed and Intall Blind Flange. Ann#A = no PG, Ann#C = no PG. Found leaking at Cap of killing valve (WECO type). Depresurize from DHSV to surface.",5071,0,,0
TN-Dx23,GTSDx,Low,33.3,,,SU1,NO,8 weeks,0,Not yet survey,0,,Cameron Blind CC40,, , ,SI,SIBU_due to no flow. Last visited 25/09/2023. Ann #C PI N/A. DBB & DBC at instrument flanges has been Removed and Install Blind flange. Depressurize from DHSV up to surface. 'Remove manual wing valve and install dummy spool.,3157,0,,0
TN-Dx25,GTSDx,Low,74,11-Sep-18,,SU4,NO,8 weeks,0,6-Nov-18,0,25-Nov-12,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited 13/01/2023. Ann #C PI N/A. Found leaking hydraulic at stem valve of exit block, isolate hydraulic oil to exit block. DBB, DBC removed and install Blind flanges,  Pressure test not performed yet. Dismantle DHSV hydraulic p",4010,0,,0
TN-Dx28,GTSDx,Low,56,25-Oct-18,,SU5,NO,8 weeks,0,20-Dec-18,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Fully Shut-in Well. Last visited 18/08/2021. 8"" horizontal flowline valve upstream autochoke passing. DBB, DBC removed and install Blind flanges. Ann #C PI N/A. 'Depressurize from DHSV up to surface. Remove manual wing valve and insta",4490,0,,0
TN-Dx32,GTSDx,Low,65,29-Aug-19,Sand Free,SU4,NO,8 weeks,0,24-Oct-19,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Last visited 07/09/2023. DBB, DBC removed and install Blind flanges. Ann#C PG N/A. Depressurize from DHSV up to surface. Remove manual wing valve and install dummy spool.",3723,0,,0
TN-Dx34,GTSDx,Low,206.5,21-Jan-19,Sand Free,SU4,NO,8 weeks,0,18-Mar-19,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 04/05/2023. Ann#C = no PG. DBB & DBC at instrument flanges has been Removed and Install Blind Flange. Depressurize from DHSV up to surface. Remove manual wing valve and install dummy spool. Leaking at RTJ flange downstrea,3648,0,,0
TN-Dx37,GTSDx,Low,133,5-Dec-18,,SU1,NO,8 weeks,0,30-Jan-19,0,,Cameron Fixed,, , ,SI,SIBU_due to no flow. Last visited 4/01/2023. Ann #C PI N/A. DBB & DBC at instrument flanges has been Removed and Install Blind Flange. Depressurize from DHSV up to surface. Remove manual wing valve and install dummy spool,3369,0,,0.1
TN-Dx40,GTSDx,Low,161,30-Nov-19,Sand Free,SU1,NO,8 weeks,0,25-Jan-20,0,27-Jul-14,Cameron Blind CC40,YES,,,SI,"Preserve_S/I for preservation GTS-Dx , Last visited 10/11/2023. DBB, DBC, Thermowell at instrument flanges has been Removed and Install Blind Flange. Depressurize from DHSV up to surface.",3133,0,,0
TN-Dx426,GTSDx,Low,0,29-Sep-21,Sand Free,Main,NO,8 weeks,0,24-Nov-21,,30-Apr-19,Masterflo P3,YES,,,SI,Preserve_S/I for preservation GTS-Dx. Last visited 10/11/2023,2786,0,,
TN-Dx432,GTSDx,Low,136,16-Nov-19,Sand Free,SU1,NO,8 weeks,0,11-Jan-20,0,29-Sep-15,Vonk DV,YES,,,SI,"SIBU_due to no flow. Last visited 10/11/2023. Manual Wing Valve is stuck open.LMV stuck 'Remove DBB, DBC & Thermowell. Blind flange installed. 'Depressurize from DHSV up to surface.",2945,0,,0
TN-Dx54,GTSDx,Low,0,2-Apr-19,Sand Free,SU4,NO,8 weeks,0,28-May-19,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited 4/01/2023. Performed DBB, DBC and Thermowell removal for re-utilization completed. Spading Completed. Leak test up to 132 BarG, result Good and no leak. Depressurize from DHSV up to surface. Remove manual wing valve and i",3899,0,,0.1
TN-Dx55,GTSDx,Low,129,14-Mar-19,Sand Free,SU4,NO,8 weeks,0,9-May-19,0,,Cameron Fixed,, , ,SI,"SIBU_due to no flow. Fully Shut in Well. Last visited 25/07/2023. Ann #C PI N/A. Found AMOT PDSHH setting 25 BarG, need to be replaced. Performed DBB, DBC and Thermowell removal for re-utilization completed. Spading Completed. Leak test up to 132 BarG, re",4008,0,,1.4
TN-Dx57,GTSDx,Low,9,15-Aug-18,,Shallow,GP,8 weeks,0,10-Oct-18,0,4-Feb-13,Cameron Plug & Cage CC40,YES, , ,SI,"SIBU_due to no flow.  Last visited 10/11/2023. Ann#C PG N/A. Manual wing valve loss. Nuflo error. Remove DBB, DBC & Thermowell. Blind flange installed. 'Depressurize from DHSV up to surface",979,0,,0
